firstName,middleName,lastName,nameNick,pos,weight,height,birthDate
Jerry,Lee,Bird,,F,78,200,1935-02-02
Larry,Joe,Bird,,F-G,81,220,1956-12-07
Otis,Lee,Birdsong,Bird,G,75,190,1955-12-09
Uwe,Konstantine,Blab,,C,85,250,1962-03-26
Cory,,Blackwell,,F,78,210,1963-03-27
James,,Blackwell,,G,72,190,1968-02-25
Norman,Augustus,Black,,G,77,185,1957-11-12
Rolando,Antonio,Blackman,Ro,G,78,190,1959-02-26
George,R.,Blaney,,G,73,175,1939-11-12
Lance,,Blanks,,G,76,190,1966-09-09
Ricky,Wayne,Blanton,,F,79,215,1966-04-21
Andray,,Blatche,,F,83,235,1986-08-22
Eric,,Bledsoe,,G,73,195,1989-12-09
Leon,Gravette,Blevins,,G,74,160,1926-06-25
John,William,Block,,F-C,81,207,1944-04-16
Corie,Kasoun,Blount,,F,81,240,1969-01-04
Mark,D.,Blount,,C,84,230,1975-11-30
Tony,Rachaun,Bobbitt,,G,76,190,1979-10-22
Nelson,S.,Bobb,Nitzy,G,72,170,1924-02-25
Keith,Ramon,Bogans,,G,77,215,1980-05-12
Andrew,Michael,Bogut,,C,84,245,1984-11-28
Etdrick,,Bohannon,Batman,F,81,220,1973-05-29
Manute,,Bol,,C,90,200,1962-10-16
Walter,,Bond,,G,77,200,1969-02-01
Dexter,Lyndell,Boney,,G,76,185,1970-04-27
Anthony,,Bonner,A.B.,F,80,215,1968-06-08
George,H.,Bon Salle,,F,80,220,1935-07-01
Melvin,Jermaine,Booker,,G,73,185,1972-08-20
Trevor,Fitzgerald,Booker,,F,80,240,1987-11-25
Calvin,Lawrence,Booth,,C,83,230,1976-05-07
Keith,Eugene,Booth,,F,77,226,1974-10-09
Carlos,Austin,Boozer,,F-C,80,258,1981-11-20
Curtis,Alan,Borchardt,,C,84,240,1980-09-13
Ruben,Bertrand,Boumtje-Boumtje,,C,84,245,1978-05-20
Bruce,,Bowen,,F-G,79,185,1971-06-14
Ryan,Cleo,Bowen,,F,79,213,1975-11-20
Anthony,Lee,Bowie,"A.B., Boo",G-F,78,190,1963-11-09
Orbie,Lee,Bowling,"Orb, Gomer",C,82,215,1939-03-21
Ira,,Bowman,,G,77,195,1973-06-11
Dennis,,Boyd,,G,73,175,1954-05-21
Ken,,Boyd,,F,77,195,1952-03-25
Earl,Antoine,Boykins,,G,65,133,1976-06-02
Harry,J.,Boykoff,"Big Hesh, Heshie, Big Boy",C,81.5,225,1922-07-24
Winford,Gladstone,Boynes,,G-F,78,185,1957-05-17
Cedric,R.,Bozeman,Ced,G,78,207,1983-03-07
Craig,Lee,Brackins,,F,82,230,1987-10-09
Gary,Lee,Bradds,Tex,F,80,210,1942-07-26
Alonzo,,Bradley,,F,78,190,1953-10-16
Alex,,Bradley,,F,78,215,1959-10-30
Avery,Antonio,Bradley,,G,74,180,1990-11-26
Charles,Warnell,Bradley,,G,77,215,1959-05-16
Dudley,Leroy,Bradley,,G-F,78,195,1957-03-19
Michael,Thomas,Bradley,,F,81,225,1979-04-18
Shawn,Paul,Bradley,,C,89,235,1972-03-22
Mark,Robert,Bradtke,Hoges,C-F,82,265,1968-09-27
Marques,,Bragg,,F,80,230,1970-03-24
Torraye,,Braggs,,F,79,237,1976-05-15
Adrian,Francis,Branch,,F-G,79,185,1963-11-17
Elton,Tyron,Brand,,F-C,80,260,1979-03-11
Carl,August,Braun,,G-F,77,180,1927-09-25
Jamison,Rudy Van,Brewer,,G,76,180,1980-11-19
Ronnie ,,Brewer,,G,79,220,1985-03-20
Primoz,,Brezec,,C,85,243,1979-10-02
Frank,Sands,Brian,"Frankie, Flash",G,73,180,1923-05-01
John,,Brisker,,F-G,77,210,1947-06-15
Allan,Mercer,Bristow,Disco,F-G,79,210,1951-08-23
David,,Britton,Dave,G,76,180,1958-08-29
Tyrone,,Britt,,G,76,190,1944-04-18
Wayman,P.,Britt,,G,74,185,1952-08-31
Gary,George,Brokaw,,G,76,178,1954-01-11
Kevin,,Brooks,,F,78,200,1969-10-12
MarShon,Scitif,Brooks,,G-F,77,200,1989-01-26
Scott,William,Brooks,,G,71,165,1965-07-31
Andre,D.,Brown,,F,81,245,1981-05-12
Damone,Lamar,Brown,,F,80,200,1979-06-28
Devin,,Brown,,G-F,77,210,1978-12-30
Ernest,,Brown,,C,84,244,1979-05-17
Fred,,Brown,"Downtown, Freddie",G,75,182,1948-08-07
George,Raff,Brown,Sweet Georgia Brown,F,78,190,1935-10-30
Gerald,,Brown,,G,76,210,1975-07-28
Harold,V.,Brown,"Hal, Brownie",G,72,155,1923-10-02
John,Young,Brown,,F,79,220,1951-12-14
Kwame,James,Brown,,C-F,83,240,1982-03-10
Leon,,Brown,Stretch,F,75,190,1919-10-12
Lewis,,Brown,,C,82,225,1955-02-19
Marcus,James,Brown,,G,75,185,1974-04-03
Raymond,,Brown,,F,80,220,1965-07-05
Randy,,Brown,,G,74,190,1968-05-22
Rickey,Darnell,Brown,,C-F,82,215,1958-08-20
Shannon,,Brown,,G,76,205,1985-11-29
Tierre,,Brown,,G,74,189,1979-06-03
Stanley,Dwayne,Brundy,Stan,F,78,210,1967-11-13
Brian,J.,Brunkhorst,Bronk,F,77.5,208,1945-06-12
George,William,Bruns,,G,72,160,1946-08-30
Rick,Daniel,Brunson,,G,76,190,1972-06-14
Emmette,,Bryant,Em,G,73,175,1938-11-04
Kobe,Bean,Bryant,,G,78,200,1978-08-23
Mark,Craig,Bryant,,F-C,81,245,1965-04-25
Wallace,Gordon,Bryant,,C,84,245,1959-07-14
Torgeir,,Bryn,,C,81,250,1964-08-08
George,P.,Bucci,The King,G,75,200,1953-07-09
Cleveland,,Buckner,,F-C,81,210,1938-08-17
Walter,,Budko,Walt,F-C,77,220,1925-06-30
Rodney,Alan,Buford,Buf,G-F,77,189,1977-11-02
Roger,Allen,Burkman,,G,76,175,1958-05-22
Alec,,Burks,,G,78,202,1991-07-20
Antonio,Cornell,Burks,,G,72,195,1980-02-25
Kevin,,Burleson,K.B.,G,75,205,1979-04-09
David,Earl,Burns,,G,74,180,1958-07-03
Evers,Allen,Burns,,F-C,80,250,1971-08-24
Scott,David,Burrell,,G-F,79,218,1971-01-12
Willie,Ricardo,Burton,,F-G,79,210,1968-05-26
Jimmy,,Butler,,G-F,79,220,1989-09-14
Mitchell,Leon,Butler,,G-F,77,210,1970-12-15
Rasual,,Butler,,F,79,205,1979-05-23
Derrick,JaVaughn,Byars,,G-F,79,220,1984-04-25
Michael,John,Bytzura,Mike,F,73,170,1922-06-18
Zarko,,Cabarkapa,,F-C,83,235,1981-05-21
Jason,Andre,Caffey,,F,80,255,1973-06-12
Michael,Jerome,Cage,John Shaft,F-C,81,224,1962-01-28
Adrian,Bernard,Caldwell,A.C.,F-C,80,255,1966-07-04
Joe,Louis,Caldwell,Pogo,F-G,77,195,1941-11-01
Demetrius,,Calip,,G,73,165,1969-11-18
Mack,,Calvin,,G,72,165,1947-07-27
Dexter,Ryan,Cambridge,,F,79,224,1970-01-29
Marcus,D.,Camby,,C-F,83,220,1974-03-22
Elden,Jerome,Campbell,"Big E, Easy",F-C,83,215,1968-07-23
Derrick,,Caracter,,F,81,275,1988-05-04
Frank,Howard,Card,,F,79,195,1944-12-28
Brian,Lee,Cardinal,,F,80,245,1977-05-02
Geno,Marcellus,Carlisle,,G,75,191,1976-08-13
Don,A.,Carlos,,G-F,76.5,210,1944-03-03
Rodney,Dion,Carney,,F,79,205,1984-04-15
Antoine,Labotte,Carr,"A.C., The Big Dog",F-C,81,225,1961-07-23
Austin,George,Carr,,G,76,200,1948-03-10
Chris,Dean,Carr,,G,77,207,1974-03-12
Cory,Jermaine,Carr,,G,75,210,1975-12-05
Jimmy,Dawn,Carruth,,C-F,82,265,1969-11-04
Anthony,Bernard,Carter,,G,73,190,1975-06-16
George,,Carter,Dirty Dingus,F-G,76,210,1944-01-10
Howard,O'Neal,Carter,,G,77,215,1961-10-26
Maurice,,Carter,,G,77,210,1976-10-12
Jay,J.,Carty,,F,79.5,220,1941-07-04
Cornelius,,Cash,,F,80,215,1952-03-03
Sam,,Cash,,F,80,230,1950-11-13
Harvey,Lee,Catchings,,C-F,81,218,1951-09-02
Terry,DeWayne,Catledge,Cat Man,F,80,220,1963-08-22
Kelvin,T.,Cato,,C,83,255,1974-08-26
Duane,,Causwell,,C,84,240,1968-05-31
Cedric,Z.,Ceballos,Ice,F,78,190,1969-08-02
John,,Celestand,,G,75,178,1977-03-06
Lionel,,Chalmers,,G,72,180,1980-11-10
Mike,O.,Champion,,F,82,230,1964-04-05
Tyson,Cleotis,Chandler,,F-C,84,235,1982-10-02
John,Louie,Chaney,,F-C-G,75,185,1920-02-29
Rex,Everett,Chapman,The Boy Wonder,G,76,185,1967-10-05
Wayne,G.,Chapman,,G-F,77,190,1945-06-15
Lorenzo,Emile,Charles,,F,79,225,1963-11-25
Calbert,Nathaniel,Cheaney,Cal,F-G,79,209,1971-07-17
Maurice,Edward,Cheeks,Mo,G,73,180,1956-09-08
Derrick,Joseph,Chievous,Band-Aid,F,79,195,1967-07-03
Chris,,Childs,,G,75,195,1967-11-20
Randolph,,Childress,,G,74,188,1972-09-21
Bob,,Christian,Bobby,C,82,255,1946-05-11
Robert,,Churchwell,,G-F,78,195,1972-02-20
Archie,L.,Clark,,G,74,175,1941-07-15
Carlos,R.,Clark,,G,76,209,1960-08-10
John,Richard,Clawson,,F,76,200,1944-05-15
Charles,,Claxton,,C,84,265,1970-12-13
Mateen,,Cleaves,,G,74,205,1977-09-07
Bill,Tom,Closs,"Bill, Bill Tom",F-C,77,195,1922-01-08
Keith,Mitchell,Closs,,C,87,212,1976-04-03
Paul,V.,Cloyd,,G-F,74,180,1920-06-13
Richard,Lee,Coffey,,F,78,212,1965-09-02
John,Michael,Coker,,C,84,253,1971-10-28
Derrick,D.,Coleman,D.C.,F,82,230,1967-06-21
E.C.,,Coleman,,F,80,225,1950-09-25
Jack,L.,Coleman,"Old Rancher, Blackjack",F-C,79,195,1924-05-23
Norris,J.,Coleman,,F,80,210,1961-09-27
Norris,,Cole,,G,74,170,1988-10-13
James,Edgar,Collins,,G,76,196,1973-11-05
Jason,Jeffrey,Collier,,F-C,84,260,1977-09-08
Jarron,Thomas,Collins,,F,83,252,1978-12-02
Jason,Paul,Collins,,C,84,260,1978-12-02
Sean,Tyree,Colson,,G,72,165,1975-07-01
Glen,Courtney,Combs,The Kentucky Rifle,G,74,185,1946-10-30
John,Roosevelt,Comeaux,,F,77,193,1943-09-15
Dallas,Alonzo,Comegys,,F,81,205,1964-08-17
Jimmy,Dan,Conner,Jimmy Dan,G,76,190,1953-03-20
Lester,Allen,Conner,The Molester,G,76,180,1959-09-17
Anthony,Lacquise,Cook,,F-C,81,205,1967-03-19
Brian,Joshua,Cook,,F,81,234,1980-12-04
Darwin,Louis,Cook,Sparkplug,G,75,184,1958-08-06
David,D.,Cooke,,F,80,230,1963-09-27
Omar,,Cook,,G,73,190,1982-01-28
Michael,Jerome,Cooper,Mike,G-F,77,170,1956-04-15
Hollis,Alphonso,Copeland,,F,78,180,1955-12-20
Lanard,,Copeland,,G,78,190,1965-07-16
Tyrone,Kennedy,Corbin,Ty,G-F,78,210,1962-12-31
James,Wesley,Cotton,,G-F,77,220,1975-12-14
John,Douglas,Coughran,,F,79,225,1951-09-12
Mel,Grant,Counts,Goose,C-F,84,230,1941-10-16
DeMarcus,Amir,Cousins,,C,83,270,1990-08-13
Marcus,Lynn,Cousin,,F,83,245,1986-12-18
Johnny,W.,Cox,,G,76,180,1936-11-01
Wesley,,Cox,,F,78,215,1955-01-27
Jordan,Lee,Crawford,,G,76,195,1988-10-23
Jim,,Creighton,,F,80,200,1950-04-18
Winston,Arnel,Crite,,F,79,233,1965-06-20
Terry,Dale,Crosby,,G,76,195,1957-01-04
Austin,Nathan,Croshere,,F,81,235,1975-05-01
Russell,,Cross,,C,81,215,1961-09-05
John,Kevin,Crotty,,G,73,185,1969-07-15
Mark,Harvey,Crow,Crow-bar,F,79,195,1954-10-22
Vonteego,Marfeek,Cummings,,G,75,185,1976-02-29
Dick,,Cunningham,Cement Mixer,C,82,240,1946-07-11
William,,Cunningham,Will,C,83,240,1974-03-25
Radisav,,Curcic,,C,82,275,1965-09-26
Earl,,Cureton,The Twirl,F-C,81,210,1957-09-03
Eddy,,Curry,,F-C,83,285,1982-12-05
Rastko,,Cvetkovic,,C,85,260,1970-06-22
Quintin,,Dailey,Q,G,75,180,1961-01-22
Samuel,Davis,Dalembert,,C,83,250,1981-05-10
Erick,Trevez,Dampier,,C-F,83,265,1974-07-14
Louie,,Dampier,"Lou, Little Louie",G,72,170,1944-11-20
Antonio,Robert,Daniels,,G,76,195,1975-03-19
Erik,Christopher,Daniels,E. Diddy,F,80,214,1982-04-01
Lloyd,,Daniels,Swee'pea,G,79,205,1967-09-04
Marquis,Antwane,Daniels,,F,78,200,1981-01-07
Oliver,,Darden,Ollie,F-C,78.5,235,1944-07-28
Yinka,,Dare,,C-F,84,265,1972-10-10
Jesse,L.,Dark,Bo,G,76.5,210,1951-09-02
Kornel,,David,,F,81,230,1971-10-22
Antonio,Lee,Davis,,F-C,81,215,1968-10-31
Aubrey,D.,Davis,,G-F,74,175,1921-03-28
Baron,Walter Louis,Davis,,G,75,209,1979-04-13
Ben,Jerome,Davis,,F,80,240,1972-12-26
Brian,Keith,Davis,,F-G,79,195,1970-06-21
Charles,Edward,Davis,Charlie,F,79,215,1958-10-05
Dwight,E.,Davis,Double D,F,80,220,1949-10-28
Emanual,,Davis,"E-Mail, Vel",G,76,194,1968-08-27
Harry,A.,Davis,,F,79,220,1956-01-27
Hubert,Ira,Davis,,G,77,183,1970-05-17
Johnny,Reginald,Davis,J.D.,G,73.5,170,1955-10-21
Josh,,Davis,,F,80,240,1980-08-10
Lee,Ommie,Davis,,C-F,80,235,1945-10-11
Mark,Giles,Davis,,F-G,77,195,1963-06-08
Mark,Anthony,Davis,,G-F,79,205,1973-04-26
Paul,Russell,Davis,,C,82,270,1984-07-21
Ralph,E.,Davis,,G,76,180,1938-09-07
Terry,Raymond,Davis,,F-C,81,225,1967-06-17
Warren,Lee,Davis,Checkmate,F-C,78,212,1943-06-30
Walter,Paul,Davis,"Greyhound, Sweet D",G-F,78,193,1954-09-09
Willie,Edward,Davis,,C,80,234,1945-08-09
Darryl,,Dawkins,"Chocolate Thunder, Double D",C,82,245,1957-01-11
Johnny,Earl,Dawkins,Pooh,G,74,165,1963-09-28
Paul,Lamar,Dawkins,,F,77,190,1957-06-10
James,C.,Dawson,"Jimmy, Jim",G,72,175,1945-04-18
Tony,,Dawson,,F,79,215,1967-08-25
Darren,Keefe,Daye,,F-G,80,220,1960-11-30
Todd,Fitzgerald,Day,,G-F,78,184,1970-01-07
Greg,Steven,Deane,,G,76,190,1957-12-06
Andrew,Donald,DeClercq,Drew,F-C,82,230,1973-02-01
Archie,William,Dees,Arch,F-C,80,205,1936-02-22
Bison,,Dele,,F-C,81,235,1969-04-06
Carlos,Francisco,Delfino,,G-F,78,230,1982-08-29
Tony,Lorenzo,Delk,,G,73,189,1974-01-28
Fennis,Marx,Dembo,,F,77,215,1966-01-24
Dell,,Demps,,G,75,205,1970-02-12
George,P.,Dempsey,,G,74,190,1929-07-19
Luol,,Deng,,G-F,80,220,1985-04-16
Blaine,,Denning,,G,74,175,1930-09-19
Justin,Lorenzo,Dentmon,,G,71,185,1985-09-05
Joe,,DePre,,G,75,185,1947-12-19
Derrick,Jonathon,Dial,,G,76,184,1975-12-20
Yakhouba,,Diawara,,F-G,79,225,1982-08-29
Clyde,L.,Dickey,,G,75,185,1951-12-14
Derrek,,Dickey,,F,79,218,1951-03-20
Henry,,Dickerson,,G,76,190,1951-11-27
Kaniel,,Dickens,,F,80,215,1978-07-21
Michael,DeAngelo,Dickerson,,G-F,77,190,1975-06-25
John,,Dickson,,C,82,240,1945-11-18
Travis,Lyle,Diener,,G,73,175,1982-03-01
Coby,Joseph,Dietrick,,C-F,82,220,1948-07-23
Mickey,Anthony,Dillard,,G,75,170,1958-10-15
Craig,H.,Dill,,C,83,215,1944-12-17
Byron,Stewart,Dinkins,,G,73,170,1967-06-15
Jackie,,Dinkins,,F,77,210,1950-01-22
Terry,Gilbert,Dischinger,,F-G,79,189,1940-11-21
Vlade,,Divac,,C,83,243,1968-02-03
Juan,,Dixon,,G,75,164,1978-10-09
Aleksandar,,Djordjevic,Sasha,G,74,198,1967-08-26
Michael,Scott,Doleac,Mike,C,83,262,1977-06-15
James,Lee,Donaldson,J.D.,C,86,275,1957-08-16
Keyon,Latwae,Dooling,,G,75,184,1980-05-08
Jacky,,Dorsey,,F,79,230,1954-12-18
Quincy,,Douby,,G,75,175,1984-05-16
Bruce,,Douglas,,G,75,195,1964-04-09
John,David,Douglas,,G,74,170,1956-06-12
Leon,,Douglas,,C-F,82,230,1954-08-26
Sherman,,Douglas,The General,G,72,180,1966-09-15
Jerry,L.,Dover,The Pill,G,67,155,1949-10-16
Zabian,,Dowdell,,G,75,191,1984-09-10
Steve,,Downing,,C,80,225,1950-09-09
Terry,Linnard,Dozier,,F,81,210,1966-06-29
Bryce,Homer,Drew,,G,74,185,1974-09-21
John,Edward,Drew,J.E.,F-G,78,205,1954-09-30
Larry,Donnell,Drew,,G,73,170,1958-04-02
Clyde,Austin,Drexler,Clyde the Glide,G-F,79,210,1962-06-22
Predrag,,Drobnjak,Peja,C,83,270,1975-10-27
Ralph,Kim,Drollinger,,C,86,250,1954-04-20
Kevin,Jerome,Duckworth,Duck,C,83,275,1964-04-01
Charles,,Dudley,Grasshopper,G,74,180,1950-03-05
Terry,,Duerod,Sweet Due,G,74,180,1956-07-29
Chris,Nicholas,Duhon,,G,73,185,1982-08-31
Walter,F.,Dukes,"Walt, Wally",C,84,220,1930-06-23
Joe,,Dumars,,G,75,190,1963-05-24
Richard,Wayne,Dumas,,F,79,200,1969-05-19
Tony,,Dumas,,G,78,190,1972-08-25
Ronald,Edmund,Dupree,,F,79,209,1981-01-26
John,Thomas,Duren,,G,75,190,1958-10-30
Jarrett,M.,Durham,,F,77,188,1949-08-22
Devin,George,Durrant,,F,79,195,1960-10-20
Dennis,,DuVal,Sweet D,G,75,175,1952-03-31
Craig,,Dykema,,F,80,190,1959-06-11
Jerome,Clifton,Dyson,,G,75,180,1987-05-01
Ledell,,Eackles,A-Train,G-F,77,215,1966-11-24
Acie,Boyd,Earl,,F-C,82,240,1970-06-23
Mark,E.,Eaton,,C,87,275,1957-01-24
Jerry,Lee,Eaves,,G,76,180,1959-02-08
Devin,,Ebanks,,F,81,215,1989-10-28
Ndudi,,Ebi,,F,81,195,1984-06-18
Roy,Lester,Ebron,,C,81,220,1951-08-31
Patrick,,Eddie,,C,83,240,1967-12-27
Bobby,Joe,Edmonds,Bobby Joe,F,78,220,1941-03-08
Keith,Andre,Edmonson,,G,77,195,1960-09-28
Tyus,Dwayne,Edney,,G,70,152,1973-02-14
Corsley,,Edwards,,F,81,275,1979-03-05
Franklin,Delano,Edwards,,G,73,170,1959-02-02
James,Franklin,Edwards,Buddha,C-F,84,225,1955-11-22
